percDelayed;averageDelay;percBundled;percReassignedOrders;percReassignedCouriers
0.0740346;16.1095;0.11771;0.0617843;0
0.060016;10.5932;0.109629;0.0618832;0
0.071161;12.5404;0.119315;0.0655431;0
0.0693391;13.114;0.116468;0.0693391;0
0.0461376;7.79963;0.106248;0.0577379;0
0.0872226;17.4797;0.131854;0.0747258;0
0.0972833;19.5151;0.137646;0.072445;0
0.0852137;15.0958;0.126626;0.0690204;0
0.0897638;17.5591;0.130709;0.0729659;0
0.093641;19.2511;0.126107;0.0611752;0
0.123431;35.375;0.139383;0.0721757;0
0.092481;20.8714;0.131517;0.0696882;0
0.0725977;13.3163;0.122228;0.061774;0
0.0936149;23.4409;0.13508;0.0699568;0
0.0754617;14.5008;0.121636;0.0670185;0
0.0927729;19.755;0.136084;0.0817529;0
0.108827;22.2379;0.140184;0.0703557;0
0.0844809;16.4224;0.13321;0.0717691;0
0.086546;17.0569;0.131393;0.0676633;0
0.0966915;22.713;0.137728;0.0764299;0
0.0910036;16.1459;0.135725;0.0704628;0
0.0819716;17.2057;0.125904;0.0677739;0
0.0683829;12.1695;0.127916;0.0724055;0
0.0684297;12.1609;0.113686;0.0695202;0
0.0692187;14.897;0.115889;0.0702674;0
0.0814191;16.66;0.130934;0.068147;0
0.107069;23.4056;0.143447;0.0786894;0
0.0994518;22.8121;0.142522;0.0676064;0
0.0747051;11.9486;0.128178;0.0665793;0
0.112658;26.6262;0.151843;0.0659964;0
0.102062;20.0023;0.139175;0.0734536;0
0.054824;9.21043;0.112067;0.0669175;0
0.0740355;13.2815;0.12487;0.0664755;0
0.0735098;14.8875;0.120556;0.0622828;0
0.0736506;14.3374;0.119649;0.07046;0
0.0744986;14.5207;0.130503;0.066684;0
0.104666;23;0.14514;0.0861047;0
0.0822411;17.0892;0.135698;0.0681059;0
0.0687776;13.7145;0.120426;0.0744874;0
0.0942718;21.4418;0.146417;0.0755202;0
0.0886635;18.3497;0.132085;0.0647426;0
0.102352;21.7718;0.140605;0.0788317;0
0.094145;23.0586;0.14341;0.0773794;0
0.0681106;14.1166;0.122651;0.0785491;0
0.0784783;15.4078;0.116254;0.0712956;0
0.0861219;16.9863;0.126848;0.0705577;0
0.083267;15.3954;0.124635;0.0721294;0
0.083793;18.1348;0.134752;0.0703966;0
0.0836441;17.6532;0.120405;0.0684603;0
0.0872169;18.697;0.125488;0.066389;0
0.0661611;12.4974;0.114017;0.0724372;0
0.0814191;16.3522;0.138336;0.0745278;0
0.0847728;17.0917;0.134733;0.0693596;0
0.0703971;13.1325;0.124549;0.070655;0
0.103234;23.1581;0.14489;0.0675291;0
0.0775033;15.1696;0.120936;0.063199;0
0.0610465;10.1229;0.114165;0.0684461;0
0.0645161;12.506;0.112123;0.0694589;0
0.0771956;15.0187;0.143508;0.0792205;0
0.0739187;13.2433;0.123722;0.0715596;0
0.0635504;12.4399;0.113445;0.0714286;0
0.106345;26.916;0.147444;0.0775751;0
0.0980799;20.6181;0.140893;0.0739491;0
0.05791;10.3996;0.117136;0.0605422;0
0.0765778;13.5741;0.119356;0.073409;0
0.0729637;14.0666;0.118864;0.065004;0
0.0459984;8.06328;0.102366;0.0627493;0
0.0516146;8.50397;0.122022;0.0719958;0
0.122497;30.7329;0.15411;0.0740253;0
0.071257;11.9949;0.122765;0.0707232;0
0.0723438;11.8131;0.126802;0.066204;0
0.0640021;12.797;0.114681;0.0723615;0
0.0767196;13.7876;0.12672;0.0674603;0
0.0933582;20.8618;0.128034;0.0677514;0
0.0948253;19.4045;0.130812;0.0745994;0
0.0471518;7.90815;0.10248;0.0583265;0
0.0901981;16.4406;0.144161;0.0737748;0
0.0531746;11.019;0.107143;0.0626984;0
0.0772476;15.3042;0.122858;0.0703928;0
0.0949144;17.5972;0.138469;0.0677241;0
0.104199;25.9751;0.133071;0.0648294;0
0.0750836;13.0838;0.132939;0.0714837;0
0.0698982;12.6553;0.112748;0.0664167;0
0.0814315;15.1867;0.133558;0.0689834;0
0.103286;24.3114;0.140323;0.0683359;0
0.0625668;12.8254;0.112567;0.0649733;0
0.103913;24.6018;0.138022;0.072184;0
0.0639835;12.4701;0.115067;0.0652735;0
0.087287;18.001;0.133159;0.072346;0
0.0860186;19.2202;0.121971;0.0628495;0
0.068122;11.9921;0.121778;0.068122;0
0.0613233;11.1985;0.11135;0.0605164;0
0.0830325;16.5652;0.124033;0.0685921;0
0.0736434;13.3483;0.131783;0.0744186;0
0.067898;12.3712;0.132934;0.0723205;0
0.110059;24.6511;0.139237;0.0770412;0
0.0461623;7.93526;0.108167;0.0641901;0
0.0614194;10.8178;0.117161;0.0642581;0
0.0736677;13.1904;0.1186;0.0715778;0
0.0748971;14.921;0.113306;0.0639232;0
0.0674157;12.607;0.12046;0.0655866;0
0.0571429;9.78623;0.117662;0.0638961;0
0.0765705;16.8865;0.119709;0.0633594;0
0.0853216;19.1349;0.125259;0.0705394;0
0.0629208;9.66753;0.130243;0.069653;0
0.0738238;14.1152;0.123213;0.0675851;0
0.0811518;14.7364;0.130366;0.0698953;0
0.0796007;16.4195;0.128487;0.0652675;0
0.0685864;12.0466;0.130105;0.0641361;0
0.0722826;13.7826;0.111141;0.0682065;0
0.0735447;13.0943;0.122921;0.0652287;0
0.0851231;15.034;0.135411;0.0678366;0
0.0805128;14.4315;0.132051;0.0676923;0
0.0684751;13.4185;0.123255;0.072689;0
0.086747;16.5491;0.120214;0.070415;0
0.0985552;20.5495;0.149639;0.0748194;0
0.0659574;11.5636;0.122606;0.0718085;0
0.0633638;11.4091;0.128031;0.0680574;0
0.0941147;20.689;0.141299;0.0753425;0
0.0875721;20.0784;0.127163;0.0681699;0
0.093255;17.0393;0.139244;0.0758815;0
0.0792872;15.4618;0.121384;0.0689566;0
0.0728923;13.7331;0.121401;0.0695201;0
0.092219;19.7102;0.131255;0.0723081;0
0.084058;17.7852;0.128063;0.0714097;0
0.0900104;17.6709;0.140219;0.0710198;0
0.0739119;14.4723;0.123873;0.0638681;0
0.0694081;11.6325;0.115767;0.0772656;0
0.0859213;18.765;0.13147;0.0763458;0
0.0945044;20.0467;0.147663;0.0677966;0
0.090363;17.4455;0.133194;0.0710368;0
0.0760446;16.1389;0.125616;0.065144;0
0.0772487;14.8614;0.123545;0.0738095;0
0.0725131;12.5675;0.116492;0.0688482;0
0.104054;21.2755;0.13607;0.0774593;0
0.0737834;12.6531;0.132915;0.0758765;0
0.068152;12.7879;0.123722;0.0705111;0
0.0708539;14.4788;0.120166;0.0635868;0
0.0695286;12.3279;0.126942;0.0747959;0
0.0887681;15.7544;0.13794;0.0665114;0
0.0764249;14.9873;0.12772;0.0694301;0
0.0841245;17.5783;0.130274;0.0696203;0
0.0621395;11.479;0.1172;0.0652858;0
0.07046;13.6086;0.112204;0.063281;0
0.0583181;9.29263;0.126269;0.0648269;0
0.0709644;12.5381;0.127372;0.0798024;0
0.112067;23.4369;0.148748;0.0753858;0
0.0565789;9.16842;0.116316;0.0707895;0
0.0965182;22.222;0.146953;0.0742448;0
0.0697372;11.4179;0.122821;0.0699974;0
0.0731257;14.9332;0.123284;0.0747096;0
0.0843009;16.5199;0.137304;0.0787481;0
0.0688848;14.117;0.116974;0.0647258;0
0.0816327;14.1926;0.1337;0.0620094;0
0.0846252;14.7825;0.134689;0.0820839;0
0.0838961;14.8468;0.132468;0.067013;0
0.0663532;12.6304;0.122257;0.0569488;0
0.0546251;8.90776;0.110281;0.0664777;0
0.0903475;20.4206;0.132561;0.0692407;0
0.0697109;13.4518;0.118076;0.0670089;0
0.049946;8.70734;0.103132;0.062905;0
0.0969428;22.3935;0.124902;0.0744709;0
0.0881886;17.6525;0.125265;0.0773305;0
